ID Sypanie,Obrazok,"Nazov (odstranit cisla, skonzistentnit a spresnit)",Kategoria (vybrat jedno z dodaneho zoznamu),Do nultej verzie,Otazka,Koncepty,Kapitola,Subkapitola,"Typ otazky (single choice, multi-choice, ano-nie, volny text,…)",Spravna odpoved,"Moznosti, ak boli k dispozicii",Obtiaznost (impossible/tazke/stredne/lahke/trivialne),XML,Pressman
507,,Čo platí o diagrame činností,modely_spravania,y,Označ pravdivé tvrdenia o diagrame činností:,"UML, diagram činností, funkcionálny model, modelovanie",07 Funkcionálne modely,07.02 Diagram aktivít,multi-choice,Názvy entít sú slovesá;Diagram musí mať začiatočný bod;Často sa napájajú na diagramy prípadov použitia;,"Názvy entít sú podstatné mená;<correct>Názvy entít sú slovesá</correct>;Diagram musí mať koncový bod;<correct>Diagram musí mať začiatočný bod</correct>;Nápisy výstupných hrán z rozhodovacieho bloku majú tvar ""udalosť [podmienka] / akcia"";<correct>Často sa napájajú na diagramy prípadov použitia</correct>;Do jednej entity nemôže smerovať viac ako jedna cesta bez použitia branch.;",lahke,questions/psi-op-q-005pl.xml,
508,,Ukrytie rôznych implementácií,strukturne_modely,,Schopnosť ukryť rôzne implementácie je:,"UML, štruktúrny diagram, diagram tried, modelovanie",04 Základy modelovania softvéru,,single-choice,Viactvarosť;,Dedičnosť;<correct>Viactvarosť</correct>;Zapuzdrenie;,trivialne,questions/psi-op-q-006mk.xml,
509,,Prechody medzi stavmi v stavovovom diagrame,modely_spravania,y,"Vyber, ako sú vo všeobecnosti označené hrany, ktoré reprezentujú prechody medzi stavmi:","UML, stavový diagram, model správania, modelovanie",09 Modely správania,09.03 Stavový diagram,single-choice,udalosť [podmienka] / akcia.;,udalosť / akcia (kardinalita).;<correct>udalosť [podmienka] / akcia.</correct>;akcia / podmienka.;pôvodný stav / nový stav.;udalosť <<podmienka>>.;,lahke,questions/psi-op-q-006ok.xml,
510,resources/q-001pl.png,Hrany v diagrame prípadov použitia,funkcionalne_modely,y,"Akého typu by správne mali byť hrany, ktoré sú znázornené čiarkovane?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,extend;,asociácia;<correct>extend</correct>;uses;dedenie;use;include;,lahke,questions/psi-op-q-006pl.xml,
511,resources/q-001mk.png,Väzby v diagrame tried,strukturne_modely,y,Doplňte najvhodnejšie väzby do obrázku:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,v izbe sú zoskupené postele;s izbou môže byť asociovaných viacero skríň;Tv izbe sú zoskupené skrine;,<correct>v izbe sú zoskupené postele</correct>;v posteli sú zoskupené skrine;so skriňou je asociovaných viacero izieb;<correct>s izbou môže byť asociovaných viacero skríň</correct>;skriňa je kompozíciou postelí;izba zovšeobecňuje skriňu;izba je závislá na posteli;<correct>Tv izbe sú zoskupené skrine</correct>;,stredne,questions/psi-op-q-007mk.xml,
512,resources/q-001ok.png,Pomenovanie stavu,modely_spravania,y,"Na obrázku je zobrazený stav stavového automatu a spolu s ním aj súvisiace prechody. Daný stav však nie je pomenovaný. Vyberte z možností tie, ktoré by mohli tvoriť jeho názov:","UML, stavový diagram, model správania, modelovanie",09 Modely správania,09.03 Stavový diagram,multi-choice,Čakanie na zadanie PIN kódu.;Zadávanie PIN kódu.;,Načítavanie SIM karty.;Zadaj PIN kód.;Zadávanie PUK kódu.;<correct>Čakanie na zadanie PIN kódu.</correct>;<correct>Zadávanie PIN kódu.</correct>;,lahke,questions/psi-op-q-007ok.xml,
513,resources/q-001pl.png,Pomenovanie hráča v diagrame prípadov použitia,funkcionalne_modely,,"Je správne pomenovanie hráča ""Mobilná sieť""?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,áno;,"nie, hráči môžu byť len osoby;áno, ale nemalo by sa to často vyskytovať;nie;<correct>áno</correct>;nie, hráči môžu byť len osoby alebo firmy;",lahke,questions/psi-op-q-007pl.xml,
514,resources/q-002mk.png,"Väzba medzi triedami ""Button"" a ""Frame""",strukturne_modely,y,Doplňte najvhodnejšiu väzbu do obrázku:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,frame obsahuje kompozíciu buttonov;,frame zovšeobecnuje button;button zovšeobecnuje frame;frame realizuje button;frame zoskupuje buttony;frame je závislý na buttone;<correct>frame obsahuje kompozíciu buttonov</correct>;,stredne,questions/psi-op-q-008mk.xml,
515,,Čo platí o diagrame komunikácií,modely_spravania,y,"Vyber tvrdenia, ktoré platia o diagrame komunikácií:","UML, diagram komunikácie, model správania, modelovanie",09 Modely správania,09.02 Diagram komunikácie,multi-choice,Modeluje správanie pomocou interakcií medzi objektmi a ich aktuálnych vzťahov.;Čas nie je samostatná dimenzia znázornená v grafe.;Poradie správ sa vyjadruje ich číslovaním.;,"<correct>Modeluje správanie pomocou interakcií medzi objektmi a ich aktuálnych vzťahov.</correct>;<correct>Čas nie je samostatná dimenzia znázornená v grafe.</correct>;Je sémanticky ekvivalentný so stavovým diagramom.;Je sémanticky ekvivalentný so sekvenčným diagramom, ale neobsahuje vzťahy medzi objektmi.;Čas je samostatná veličina, správy sú uvedené v časovej postupnosti.;<correct>Poradie správ sa vyjadruje ich číslovaním.</correct>;",stredne,questions/psi-op-q-008ok.xml,
516,resources/q-002pl.png,Diagram prípadov použitia pre odvádzanie daní,funkcionalne_modely,,"Aký je vhodný názov hráča, aby vyjadroval pravidelné neomylné odvádzanie dane z každej platby?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,čas;,daňový poplatník;zákazník;<correct>čas</correct>;podnikateľ;volič;,lahke,questions/psi-op-q-008pl.xml,
517,resources/q-003mk.png,Väzby v diagrame tried osôb,strukturne_modely,y,Doplňte najvhodnejšie väzby do obrázku:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,osoba zovšeobecňuje zákazníka;osoba zovšeobecňuje zamestnanca;,zákazník zoskupuje osoby;osoba je kompozíciou zákazníkov;zamestnanec realizuje osobu;<correct>osoba zovšeobecňuje zákazníka</correct>;zákazník realizuje osobu;<correct>osoba zovšeobecňuje zamestnanca</correct>;,lahke,questions/psi-op-q-009mk.xml,
518,,Model životného cyklu dátovej entity,modely_spravania,y,Graf životného cyklu dátovej entity:,"UML, stavový diagram, model správania, modelovanie",09 Modely správania,09.03 Stavový diagram,single-choice,"opisuje časovú následnosť jednotlivých funkcií, ktoré pracujú s dátovou entitou.;","je prostriedok na vyjadrenie kauzálnych a časových súvislosti (následnosti) akcií a stavov v systéme.;znázorňuje dátové entity a vzťahy medzi nimi.;<correct>opisuje časovú následnosť jednotlivých funkcií, ktoré pracujú s dátovou entitou.</correct>;modeluje dynamické správanie pomocou interakcií medzi objektmi a ich aktuálnych vzťahov;",stredne,questions/psi-op-q-009ok.xml,
519,resources/q-003pl.png,Diagram prípadov použitia pre online objednávku,funkcionalne_modely,y,Doplňte chýbajúci názov prípadu použitia?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,získať pomoc;,pomôž mi;<correct>získať pomoc</correct>;pomoc;získam pomoc;zavolaj;,lahke,questions/psi-op-q-009pl.xml,
520,resources/q-004mk.png,Väzby v diagrame tried fotoaparátov,strukturne_modely,y,Doplňte najvhodnejšie väzby do obrázku:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,CannonEOS500D realizuje fotoaparát;CannonPowerShotA3100IS realizuje fotoaparát;,<correct>CannonEOS500D realizuje fotoaparát</correct>;fotoaparát zoskupuje CannonEOS500D;CannonPowerShotA3100IS závisí od fotoaparátu;fotoaparát zovšeobecňuje CannonPowerShotA3100IS;<correct>CannonPowerShotA3100IS realizuje fotoaparát</correct>;fotoaparát zovšeobecňuje CannonEOS500D;,stredne,questions/psi-op-q-010mk.xml,
521,,Začiatočný a koncový stav,modely_spravania,,Systém môže mať:,"UML, stavový diagram, model správania, modelovanie",09 Modely správania,09.03 Stavový diagram,single-choice,"iba jeden začiatočný stav, ale viac rôznych koncových stavov.;","viac rôznych začiatočných aj koncových stavov.;iba jeden koncový stav, ale viac rôznych začiatočných stavov.;iba jeden začiatočný stav a iba jeden koncový stav.;<correct>iba jeden začiatočný stav, ale viac rôznych koncových stavov.</correct>;",lahke,questions/psi-op-q-010ok.xml,
522,resources/q-004pl.png,"Vzťah medzi hráčmi ""Sprievodca"" a ""Pasažier""",funkcionalne_modely,y,"Aký má byť správne vzťah medzi hráčmi ""Sprievodca"" a ""Pasažier""?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,Sprievodca dedí od Pasažiera;,"Pasažier dedí od Sprievodcu;nemá byť medzi nimi žiaden vzťah;má tam byť asociácia;má tab byť vzťah ""include"";<correct>Sprievodca dedí od Pasažiera</correct>;",stredne,questions/psi-op-q-010pl.xml,
523,resources/q-005mk.png,Názov dátovej entity,strukturne_modely,y,Doplňte najvhodnejší názov dátovej entity:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,Titul;,Knihy;Skripta;Zbierka;Kuchárka;<correct>Titul</correct>;Kuchárska kniha;,lahke,questions/psi-op-q-011mk.xml,
524,resources/q-005pl.png,Diagram prípadov použitia pre check-in v hoteli,funkcionalne_modely,y,"Aký má byť vzťah medzi prípadmi použitia ""Individuálny Check-in"" a ""Postaranie sa o batožinu"", ""Check-in cez počítač"" a ""Individuálny Check-in"", ""Postaranie sa o batožinu"" a ""Check-in cez Kiosk"" (smer vzťahov je vzhľadom na poradie v tomto vymenovaní)?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,"žiaden, dedenie, extend;","žiaden, dedenie, include;include, žiaden, extend;include, extend, opačný extend;extend, dedenie, žiaden;<correct>žiaden, dedenie, extend</correct>;dedenie, extend, dedenie;žiaden, opačné dedenie, extend;",stredne,questions/psi-op-q-011pl.xml,
525,resources/q-006mk.png,"Názov metódy v triede ""Študent""",strukturne_modely,,"Doplňte najvhodnejší názov pre metódu na zistenie, či študent môže študovať daný predmet(napr. či má spravené všetky predmety, ktoré je potrebné absolvovať na štúdium zvoleného predmetu):","UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,jeOpravneny(Predmet: p);,vyhovuje(Predmet: p);splna(Predmet: p);jeVhodny(Predmet: p);jeSpraveny(Predmet: p);<correct>jeOpravneny(Predmet: p)</correct>;ma(Predmet: p);,lahke,questions/psi-op-q-012mk.xml,
526,resources/q-006pl.png,Diagram prípadov použitia pre eshop,funkcionalne_modely,y,"Aký má byť vzťah medzi prípadom použitia ""Prezerať položky"" a ostatnými prípadmi použitia?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,"extend, smerom k ""Prezerať položky"";","include, smerom k ""Prezerať položky"";include, smerom od ""Prezerať položky"";<correct>extend, smerom k ""Prezerať položky""</correct>;extend, smerom od ""Prezerať položky"";uses, smerom k ""Prezerať položky"";uses, smerom od ""Prezerať položky"";majú tam byť asociácie;",lahke,questions/psi-op-q-012pl.xml,
527,resources/q-006pl.png,"""Autentifikácia používateľa"" v eshope",funkcionalne_modely,,"Aké majú byť vzťahy medzi prípadmi použitia ""Autentifikácia používateľa"" a ostatnými prípadmi použitia(v smere zhora dole)?","UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,"include, extend, include;","extend, include, include;extend, include, extend;extend, extend, extend;<correct>include, extend, include</correct>;include, žiaden, include;include, include, include;",stredne,questions/psi-op-q-013pl.xml,
528,resources/q-008mk.png,Kardinalita väzby v diagrame tried,strukturne_modely,,Dátové entity na obrázku môžeme prepojiť väzbou s kardinalitou:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,1:1;,1:N;<correct>1:1</correct>;M:N;,lahke,questions/psi-op-q-014mk.xml,
529,resources/q-007pl.png,Diagram prípadov použitia vodiča auta,funkcionalne_modely,,Čo je na obrázku nesprávne?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,"Názov prípadu použitia ""Do nemocnice"";Názov prípadu použitia ""Brzda"";Vzťah extend medzi ""Riadiť auto"" a ""Odbočiť"";Názov prípadu použitia ""Plyn"";Názov prípadu použitia ""Vpravo"";","Názov hráča;<correct>Názov prípadu použitia ""Do nemocnice""</correct>;Názov prípadu použitia ""Odbočiť"";<correct>Názov prípadu použitia ""Brzda""</correct>;<correct>Vzťah extend medzi ""Riadiť auto"" a ""Odbočiť""</correct>;Názov prípadu použitia ""Riadiť auto"";<correct>Názov prípadu použitia ""Plyn""</correct>;<correct>Názov prípadu použitia ""Vpravo""</correct>;Vzťah include medzi ""Riadiť auto"" a ""Plyn"";Vzťah extend medzi ""Do nemocnice"" a ""Riadiť auto"";",stredne,questions/psi-op-q-014pl.xml,
530,resources/q-009mk.png,Kardinalita väzby medzi matkou a dieťaťom,strukturne_modely,y,Na matrike sú zapísané deti a ich rodičia. Vzťah medzi biologickou matkou a dieťaťom môžeme naznačiť väzbou s kardinalitou:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,1:1..*;,0..*:1;1:0..*;<correct>1:1..*</correct>;1..*:1..*;1:1;1..*:1;,lahke,questions/psi-op-q-015mk.xml,
531,resources/q-008pl.png,Názov hráča v diagrame prípadov použitia,funkcionalne_modely,y,Aký je vhodný názov pre hráča v uvedenom diagrame?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,single-choice,Autentifikácia;,Administrátor;Používateľ;<correct>Autentifikácia</correct>;Server;Session;,lahke,questions/psi-op-q-015pl.xml,
532,resources/q-010mk.png,Kardinalita väzby medzi študentom a univerzitou,strukturne_modely,,Dátovú entitu študenta (opisujúcej študujúceho študenta) a univerzity môžeme definovať väzbou s kardinalitou:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,1..*:1..*;,0..*:1;1:0..*;1:1..*;<correct>1..*:1..*</correct>;0..*:0..*;1:1;1..*:1;1..*:0..*;,lahke,questions/psi-op-q-016mk.xml,
533,,Vzťah extend v diagrame prípadov použitia,funkcionalne_modely,y,Čo platí o vzťahu extend (rozšírenie)v diagrame prípadov použitia?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,"Prípad použitia, ktorý rozširuje iný prípad použitia, sa vykoná len v špeciálnych prípadoch.;Vzťah sa používa len medzi prípadmi použitia;","Prípad použitia, ktorý rozširuje iný prípad použitia, sa vykoná vždy keď sa vykoná aj ten pôvodný.;Vzťah sa používa aj medzi aktérmi aj medzi prípadmi použitia.;<correct>Prípad použitia, ktorý rozširuje iný prípad použitia, sa vykoná len v špeciálnych prípadoch.</correct>;Vzťah sa používa len medzi aktérmi.;<correct>Vzťah sa používa len medzi prípadmi použitia</correct>;",stredne,questions/psi-op-q-016pl.xml,
534,resources/q-011mk.png,Chyby v diagrame tried elektrických spotrebičou,strukturne_modely,,Nájdite chyby v diagrame na obrázku:,"UML, štruktúrny diagram, diagram tried, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,trieda ElektrickySpotrebic má byť interface;kardinalita vzťahu medzi triedou Lampa a Ziarovka je naopak;vzťah medzi triedou Vysavac a Vrecko má byť zoskupenie;vzťah medzi triedou Vysavac a Filter má byť zoskupenie a šípka má byť naopak;názvy tried majú začínať veľkým písmenom;,trieda ElektrickySpotrebic má byť abstraktná;<correct>trieda ElektrickySpotrebic má byť interface</correct>;trieda Lampa má byť abstraktná;vzťah medzi triedou Lampa a Ziarovka je naopak;<correct>kardinalita vzťahu medzi triedou Lampa a Ziarovka je naopak</correct>;vzťah medzi triedou Vysavac a Lampa má byť kompozícia;vzťah medzi triedou Vysavac a Vrecko je naopak;kardinalita vzťahu medzi triedou Vysavac a Vrecko je naopak;<correct>vzťah medzi triedou Vysavac a Vrecko má byť zoskupenie</correct>;vzťah medzi triedou Vysavac a Filter má byť zoskupenie;vzťah medzi triedou Vysavac a Filter má byť kompozicia a šípka má byť naopak;<correct>vzťah medzi triedou Vysavac a Filter má byť zoskupenie a šípka má byť naopak</correct>;vzťah medzi triedou Vysavac a Filter má byť kompozicia;názvy tried majú byť s malými písmenami;<correct>názvy tried majú začínať veľkým písmenom</correct>;,tazke,questions/psi-op-q-017mk.xml,
535,,Čo riadia prípady použitia,funkcionalne_modely,y,Čo riadia prípady použitia?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",,,multi-choice,Zbieranie požiadaviek;Testovanie;Vývoj architektúry;Plánovanie interácií vo vývoji softvéru;,<correct>Zbieranie požiadaviek</correct>;Implementáciu;<correct>Testovanie</correct>;Možné riziká počas vývoja;<correct>Vývoj architektúry</correct>;<correct>Plánovanie interácií vo vývoji softvéru</correct>;,stredne,questions/psi-op-q-017pl.xml,
536,,Názvy prípadov použitia,funkcionalne_modely,y,Ktoré sú vhodné názvy pre prípady použitia?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,Registrácia študenta;Doručenie pošty;Použitie kalendára;Nájdenie produktu;,<correct>Registrácia študenta</correct>;Kalendár;<correct>Doručenie pošty</correct>;Reklámacia;<correct>Použitie kalendára</correct>;<correct>Nájdenie produktu</correct>;,lahke,questions/psi-op-q-018pl.xml,
537,resources/q-013mk.png,Vzťah medzi predmetmi v diagrame objektov,strukturne_modely,y,Vzťah medzi uvedenými predmetmi najlepšie vystihuje:,"UML, štruktúrny diagram, diagram objektov, modelovanie",08 Štruktúrne modely,08.02 Diagram objektov,single-choice,Závislosť (šípka smeruje od BakalarskehyProjektI k BakalarskyProjektII);,Kompozícia (šípka smeruje od BakalarskehyProjektI k BakalarskyProjektII);Kompozícia (šípka smeruje od BakalarskehyProjektII k BakalarskyProjektI);<correct>Závislosť (šípka smeruje od BakalarskehyProjektI k BakalarskyProjektII)</correct>;Závislosť (šípka smeruje od BakalarskehyProjektII k BakalarskyProjektI);Zovšeobecnenie (šípka smeruje od BakalarskehyProjektI k BakalarskyProjektII);Zovšeobecnenie (šípka smeruje od BakalarskehyProjektII k BakalarskyProjektI);Zoskupenie (šípka smeruje od BakalarskehyProjektI k BakalarskyProjektII);Zoskupenie (šípka smeruje od BakalarskehyProjektII k BakalarskyProjektI);,stredne,questions/psi-op-q-019mk.xml,
538,resources/q-003ok_a.png,Vhodný názov pre správu,modely_spravania,,Vyber vhodný názov pre posielanú správu:,"UML, sekvenčný diagram, model správania, modelovanie",09 Modely správania,09.01 Sekvenčný diagram,multi-choice,zabiDraka;hľadaj Svätý grál;,<correct>zabiDraka</correct>;kôň;<correct>hľadaj Svätý grál</correct>;pasovaný na rytiera;čakanie na družinu;,lahke,questions/psi-op-q-019ok.xml,
539,,Povolené vzťahy v diagrame prípadov použitia,funkcionalne_modely,y,Aké sú povolené vzťahy v diagrame prípadov použitia?,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,Asociácia medzi hráčom a prípadom použitia;Asociácia medzi dvomi prípadmi použitia;Generalizácia medzi dvomi prípadmi použitia;Generalizácia medzi dvoma hráčmi;,<correct>Asociácia medzi hráčom a prípadom použitia</correct>;Asociácia medzi dvoma hráčmi;<correct>Asociácia medzi dvomi prípadmi použitia</correct>;Generalizácia medzi hráčom a prípadom použitia;<correct>Generalizácia medzi dvomi prípadmi použitia</correct>;<correct>Generalizácia medzi dvoma hráčmi</correct>;,lahke,questions/psi-op-q-019pl.xml,
